media,keyword,periode,favorite_count
CNN,covid,SeptOct2020,1128.896551724138
BBCWorld,covid,JanFeb2020,916.0
CNN,coronavirus,SeptOct2020,854.818045112782
CNN,china,SeptOct2020,638.566037735849
CNN,covid,MarchApril2021,626.9342465753425
CNN,vaccine,MarchApril2021,570.7326203208556
CNN,vaccine,SeptOct2020,536.6724137931035
BBCWorld,china,JanFeb2020,479.796875
BBCWorld,china,SeptOct2020,472.2258064516129
BBCWorld,covid,SeptOct2020,471.5740740740741
AP,vaccine,SeptOct2020,459.4193548387097
Reuters,covid,JanFeb2020,457.2857142857143
BBCWorld,coronavirus,JanFeb2020,452.7358490566038
AP,coronavirus,SeptOct2020,420.32191780821915
BBCWorld,coronavirus,SeptOct2020,417.640350877193
BBCWorld,wuhan,JanFeb2020,394.9230769230769
CNN,wuhan,JanFeb2020,391.42141230068336
AJEnglish,wuhan,JanFeb2020,387.04761904761904
CNN,WHO,MarchApril2021,341.3333333333333
BBCWorld,covid,MarchApril2021,336.20540540540543
CNN,china,JanFeb2020,327.6332518337408
CNN,coronavirus,JanFeb2020,322.6296296296296
AP,covid,SeptOct2020,289.1830985915493
AP,covid,MarchApril2021,285.1823899371069
BBCWorld,vaccine,MarchApril2021,267.1111111111111
AP,vaccine,MarchApril2021,244.64341085271317
XHNews,Wuhan,JanFeb2020,237.51937984496124
CGTNOfficial,Wuhan,JanFeb2020,230.48545861297538
AP,wuhan,JanFeb2020,229.92
AP,delta,MarchApril2021,202.0
CNN,covid,JanFeb2020,201.52380952380952
AJEnglish,coronavirus,JanFeb2020,195.84070796460176
AP,china,JanFeb2020,190.74534161490683
AP,coronavirus,JanFeb2020,190.68421052631578
CNN,wuhan,SeptOct2020,186.0
AJEnglish,china,JanFeb2020,183.4788732394366
AP,china,SeptOct2020,166.88095238095238
AJEnglish,china,SeptOct2020,151.40963855421685
BBCWorld,vaccine,SeptOct2020,148.55555555555554
CGTNOfficial,Coronavirus,JanFeb2020,148.0597140454163
CGTNOfficial,China,JanFeb2020,145.2891737891738
XHNews,Coronavirus,JanFeb2020,135.07798165137615
AP,WHO,MarchApril2021,123.0
Reuters,covid,SeptOct2020,122.08796579108125
AJEnglish,WHO,MarchApril2021,117.9
Reuters,coronavirus,SeptOct2020,115.16759002770083
AJEnglish,covid,SeptOct2020,114.16343490304709
AJEnglish,covid,MarchApril2021,112.80409356725146
Reuters,wuhan,JanFeb2020,111.9126213592233
XHNews,China,JanFeb2020,109.78217821782178
Reuters,covid,MarchApril2021,105.3972602739726
AJEnglish,vaccine,SeptOct2020,105.08108108108108
AJEnglish,coronavirus,SeptOct2020,102.35593220338983
Reuters,vaccine,MarchApril2021,101.27784431137725
AJEnglish,vaccine,MarchApril2021,98.76724137931035
Reuters,WHO,MarchApril2021,97.77777777777777
Reuters,vaccine,SeptOct2020,91.125
Reuters,china,SeptOct2020,83.82567567567567
Reuters,coronavirus,JanFeb2020,76.70345596432553
Reuters,china,JanFeb2020,76.41005586592179
AJEnglish,covid,JanFeb2020,68.75
CGTNOfficial,wuhan,SeptOct2020,68.375
XHNews,Covid,JanFeb2020,67.22549019607843
Reuters,wuhan,SeptOct2020,65.5
XHNews,wuhan,SeptOct2020,58.25
AP,covid,JanFeb2020,52.5
XHNews,china,SeptOct2020,49.84865470852018
CGTNOfficial,china,SeptOct2020,48.95264937993235
CGTNOfficial,covid,JanFeb2020,46.51282051282051
CGTNOfficial,vaccine,MarchApril2021,45.29616724738676
XHNews,delta,MarchApril2021,40.0
XHNews,covid,SeptOct2020,37.308411214953274
XHNews,vaccine,MarchApril2021,34.30769230769231
XHNews,covid,MarchApril2021,33.97122302158273
XHNews,vaccine,SeptOct2020,30.975
CGTNOfficial,WHO,MarchApril2021,29.869565217391305
XHNews,WHO,MarchApril2021,26.565217391304348
CGTNOfficial,covid,MarchApril2021,26.16256157635468
AJEnglish,wuhan,SeptOct2020,26.0
CGTNOfficial,vaccine,SeptOct2020,25.50877192982456
XHNews,coronavirus,SeptOct2020,25.40650406504065
CGTNOfficial,coronavirus,SeptOct2020,24.58076923076923
CGTNOfficial,covid,SeptOct2020,21.185929648241206
