media,keyword,periode,retweet_count
BBCWorld,covid,JanFeb2020,747.0
CNN,covid,SeptOct2020,357.74548440065684
Reuters,covid,JanFeb2020,312.2857142857143
AJEnglish,wuhan,JanFeb2020,273.14285714285717
BBCWorld,china,JanFeb2020,261.7265625
CNN,coronavirus,SeptOct2020,249.3127819548872
CNN,china,SeptOct2020,236.88679245283018
BBCWorld,coronavirus,JanFeb2020,236.38993710691824
CNN,wuhan,JanFeb2020,203.84282460136674
BBCWorld,china,SeptOct2020,202.06451612903226
AP,coronavirus,SeptOct2020,199.56164383561645
BBCWorld,wuhan,JanFeb2020,179.53846153846155
AP,wuhan,JanFeb2020,171.76
AP,vaccine,SeptOct2020,170.2258064516129
CNN,china,JanFeb2020,164.07334963325184
CNN,coronavirus,JanFeb2020,159.00836320191158
CNN,vaccine,SeptOct2020,157.39655172413794
AP,china,JanFeb2020,157.3726708074534
AP,coronavirus,JanFeb2020,157.1578947368421
CNN,covid,MarchApril2021,155.42739726027398
BBCWorld,covid,SeptOct2020,143.85185185185185
AP,covid,MarchApril2021,141.45283018867926
AJEnglish,coronavirus,JanFeb2020,137.3746312684366
BBCWorld,coronavirus,SeptOct2020,135.42105263157896
CNN,vaccine,MarchApril2021,130.45454545454547
AJEnglish,china,JanFeb2020,128.34741784037558
CNN,WHO,MarchApril2021,128.0
AP,covid,SeptOct2020,125.46478873239437
CNN,covid,JanFeb2020,111.33333333333333
AP,vaccine,MarchApril2021,108.7984496124031
BBCWorld,covid,MarchApril2021,107.48108108108109
AP,china,SeptOct2020,98.66666666666667
CGTNOfficial,Wuhan,JanFeb2020,96.54362416107382
XHNews,Wuhan,JanFeb2020,96.13565891472868
CNN,wuhan,SeptOct2020,84.0
BBCWorld,vaccine,MarchApril2021,77.87654320987654
Reuters,wuhan,JanFeb2020,77.70388349514563
AJEnglish,china,SeptOct2020,77.0
BBCWorld,vaccine,SeptOct2020,65.22222222222223
CGTNOfficial,Coronavirus,JanFeb2020,64.73591253153911
CGTNOfficial,China,JanFeb2020,63.7008547008547
Reuters,coronavirus,JanFeb2020,56.01505016722408
AP,WHO,MarchApril2021,55.666666666666664
Reuters,china,JanFeb2020,55.37728119180633
XHNews,Coronavirus,JanFeb2020,53.763302752293576
Reuters,coronavirus,SeptOct2020,50.66551246537396
Reuters,covid,SeptOct2020,49.76908979841173
AP,covid,JanFeb2020,49.75
Reuters,WHO,MarchApril2021,49.666666666666664
AJEnglish,coronavirus,SeptOct2020,48.53389830508475
AJEnglish,covid,SeptOct2020,47.983379501385045
AJEnglish,covid,MarchApril2021,46.634502923976605
Reuters,china,SeptOct2020,46.236486486486484
AJEnglish,WHO,MarchApril2021,46.0
Reuters,wuhan,SeptOct2020,45.5
Reuters,covid,MarchApril2021,44.21917808219178
AJEnglish,vaccine,SeptOct2020,44.189189189189186
Reuters,vaccine,MarchApril2021,43.07544910179641
AJEnglish,covid,JanFeb2020,42.75
Reuters,vaccine,SeptOct2020,42.641891891891895
XHNews,China,JanFeb2020,40.78811881188119
AJEnglish,vaccine,MarchApril2021,39.258620689655174
AP,delta,MarchApril2021,38.0
XHNews,Covid,JanFeb2020,26.892156862745097
AJEnglish,wuhan,SeptOct2020,21.0
XHNews,wuhan,SeptOct2020,15.75
CGTNOfficial,covid,JanFeb2020,15.41025641025641
CGTNOfficial,wuhan,SeptOct2020,15.0625
XHNews,china,SeptOct2020,13.869955156950672
CGTNOfficial,vaccine,MarchApril2021,13.581881533101045
XHNews,covid,SeptOct2020,12.92056074766355
XHNews,vaccine,SeptOct2020,12.45
XHNews,vaccine,MarchApril2021,12.01923076923077
XHNews,covid,MarchApril2021,11.546762589928058
XHNews,WHO,MarchApril2021,11.304347826086957
XHNews,coronavirus,SeptOct2020,10.91869918699187
CGTNOfficial,china,SeptOct2020,10.910935738444193
XHNews,delta,MarchApril2021,9.0
CGTNOfficial,WHO,MarchApril2021,8.956521739130435
CGTNOfficial,covid,MarchApril2021,7.733990147783251
CGTNOfficial,vaccine,SeptOct2020,7.56140350877193
CGTNOfficial,coronavirus,SeptOct2020,7.392307692307693
CGTNOfficial,covid,SeptOct2020,5.50251256281407
